filename_audio|filename_transcript|transkripsi|ground_truth|wer|cer|hasil_llm|status|latency|path_audio_eval|correctness_1_5|naturalness_1_5|intelligibility_1_3
2222_audio1.wav|audio01.txt|Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule.|Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?|0.0909|0.0156|"```json {   """"perbaikan"""": """"Saya ingin memesan tiket pesawat ke Jeddah minggu depan, bisakah Anda membantu mengatur jadwalnya?"""",   """"tagging"""": """"[ID:Aku mau] [EN:book flight] [ID:ke Jeddah minggu depan, bisa bantu] [EN:schedule.]"""",   """"respon"""": """"Anda dapat memeriksa jadwal penerbangan melalui situs web resmi maskapai atau agen perjalanan untuk mendapatkan jadwal terbaik. Segera lakukan pemesanan agar Anda mendapatkan ketersediaan kursi dan harga yang sesuai."""" } ```"|SUCCESS|48.77|data/evaluation_output/audio_results\2222_audio1.wav|||
2222_audio10.wav|audio10.txt|Apa perbedaan umroh dan hajj secara detail dalam Islam?|Apa perbedaan umrah dan hajj secara detail dalam Islam|0.2222|0.037|"```json {   """"perbaikan"""": """"Apa perbedaan antara umrah dan haji secara detail dalam Islam?"""",   """"tagging"""": """"[ID:Apa perbedaan umroh dan hajj secara detail dalam Islam?]"""",   """"respon"""": """"Perbedaan utama terletak pada waktu pelaksanaan, di mana haji hanya dilakukan pada bulan Zulhijah, sedangkan umrah dapat dilakukan kapan saja. Selain itu, haji memiliki rukun yang lebih banyak, termasuk wukuf di Arafah, yang tidak ada dalam ibadah umrah."""" } ```"|SUCCESS|32.32|data/evaluation_output/audio_results\2222_audio10.wav|||
2222_audio12.wav|audio12.txt|Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang?|Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang|0.1111|0.0159|"```json {   """"perbaikan"""": """"Bagaimana proses visa Arab Saudi untuk umrah dari Indonesia saat ini?"""",   """"tagging"""": """"[ID:Bagaimana proses visa] [ID:Saudi] [ID:untuk umrah dari Indonesia sekarang?]"""",   """"respon"""": """"Proses pengajuan visa umrah saat ini umumnya dilakukan melalui biro perjalanan resmi atau melalui platform visa elektronik resmi. Pastikan Anda mengikuti instruksi terbaru mengenai persyaratan dokumen dan prosedur kesehatan yang berlaku."""" } ```"|SUCCESS|32.13|data/evaluation_output/audio_results\2222_audio12.wav|||
2222_audio14.wav|audio14.txt|How to prepare dokumen umrah dari Indonesia dengan benar?|How to prepare dokumen umrah dari Indonesia dengan benar|0.1111|0.0179|"```json {   """"perbaikan"""": """"Bagaimana cara menyiapkan dokumen umrah dari Indonesia dengan benar?"""",   """"tagging"""": """"[EN:How to prepare] [ID:dokumen umrah dari Indonesia dengan benar?]"""",   """"respon"""": """"Anda perlu menyiapkan paspor dengan masa berlaku minimal enam bulan, visa umrah, serta dokumen kesehatan yang diperlukan. Sangat disarankan untuk selalu berkonsultasi dengan biro perjalanan resmi agar seluruh administrasi Anda terpenuhi dengan benar."""" } ```"|SUCCESS|46.45|data/evaluation_output/audio_results\2222_audio14.wav|||
2222_audio2.wav|audio02.txt|aku butuh travel umrah simple tapi include madinah visit|Aku butuh travel umrah simple tapi include Madinah visit|0.0|0.0|"```json {   """"perbaikan"""": """"Saya membutuhkan biro perjalanan umrah yang praktis namun sudah termasuk kunjungan ke Madinah."""",   """"tagging"""": """"[ID:aku butuh travel umrah simple tapi include] [EN:madinah visit]"""",   """"respon"""": """"Anda dapat mencari paket umrah praktis yang sudah mencakup kunjungan ke Madinah melalui agen perjalanan resmi. Pastikan Anda meninjau rincian jadwal perjalanan agar sesuai dengan keinginan Anda."""" } ```"|SUCCESS|30.98|data/evaluation_output/audio_results\2222_audio2.wav|||
2222_audio3.wav|audio03.txt|Can you help aku arrange transport dari Jeddah ke Madinah tomorrow?|Can you help aku arrange transport dari Jeddah ke Madinah tomorrow|0.0909|0.0152|"```json {   """"perbaikan"""": """"Bisakah Anda membantu saya mengatur transportasi dari Jeddah ke Madinah besok?"""",   """"tagging"""": """"[EN:Can you help] [ID:aku] [EN:arrange transport] [ID:dari] [ID:Jeddah] [ID:ke] [ID:Madinah] [EN:tomorrow?]"""",   """"respon"""": """"Anda dapat menggunakan layanan kereta cepat atau bus untuk perjalanan tersebut. Disarankan untuk memesan tiket secara daring guna memastikan ketersediaan jadwal besok."""" } ```"|SUCCESS|60.55|data/evaluation_output/audio_results\2222_audio3.wav|||
2222_audio4.wav|audio04.txt|Explain step by step cara apply visa Saudi dengan benar|Explain step by step cara apply visa Saudi dengan benar|0.0|0.0|"```json {   """"perbaikan"""": """"Jelaskan langkah demi langkah cara mengajukan visa Arab Saudi dengan benar."""",   """"tagging"""": """"[EN:Explain step by step] [ID:cara apply visa Saudi dengan benar]"""",   """"respon"""": """"Anda dapat mengajukan visa secara daring melalui platform resmi pemerintah Arab Saudi atau melalui agen perjalanan resmi. Pastikan semua dokumen pendukung telah diunggah dengan benar untuk menghindari penolakan."""" } ```"|SUCCESS|30.55|data/evaluation_output/audio_results\2222_audio4.wav|||
2222_audio5.wav|audio05.txt|Ya akhi uridu bukflaik ila jedah al-usbu'al qadim hal bisa bantu ajidah aftal skedul warihlatan mubasyirah|Ya akhi, uridu book flight ila Jeddah al-usbu'al qadim. Hal bisa bantu ajida afdhal schedule wa rihlatan mubashirah?|0.6111|0.1638|"```json {   """"perbaikan"""": """"Ya saudara, saya ingin memesan tiket pesawat ke Jeddah minggu depan, apakah Anda bisa membantu membuatkan jadwal perjalanan langsung?"""",   """"tagging"""": """"[ID:Ya] [AR:akhi] [AR:uridu] [EN:bukflaik] [AR:ila] [AR:jedah] [AR:al-usbu'al] [AR:qadim] [ID:hal bisa bantu] [ID:ajidah] [ID:aftal] [EN:skedul] [AR:warihlatan] [AR:mubasyirah]"""",   """"respon"""": """"Anda dapat memeriksa ketersediaan jadwal penerbangan ke Jeddah melalui situs resmi maskapai penerbangan. Untuk menyusun rencana perjalanan langsung, saya sarankan Anda menghubungi agen perjalanan resmi guna mendapatkan pengaturan jadwal yang paling efisien."""" } ```"|SUCCESS|35.69|data/evaluation_output/audio_results\2222_audio5.wav|||
2222_audio6.wav|audio06.txt|uridu arrange transport menjedah ila madinah wadan|Urīdu arrange transport min Jeddah ilā Madinah ghadan|0.625|0.1321|"```json {   """"perbaikan"""": """"Saya ingin mengatur transportasi dari Jeddah ke Madinah."""",   """"tagging"""": """"[AR:uridu] [EN:arrange transport] [ID:menjedah] [AR:ila] [ID:madinah] [ID:wadan]"""",   """"respon"""": """"Anda dapat menggunakan layanan kereta cepat atau bus untuk perjalanan dari Jeddah ke Madinah. Disarankan untuk melakukan pemesanan tiket terlebih dahulu secara daring demi kenyamanan perjalanan Anda."""" } ```"|SUCCESS|31.87|data/evaluation_output/audio_results\2222_audio6.wav|||
2222_audio7.wav|audio07.txt|Book flight ke Jeddah lalu lanjut ke Madinah, schedule terbaik kapan?|Book flight ke Jeddah lalu lanjut ke Madinah, schedule terbaik kapan|0.0909|0.0147|"```json {   """"perbaikan"""": """"Bagaimana jadwal terbaik untuk memesan penerbangan ke Jeddah dan kemudian melanjutkan perjalanan ke Madinah?"""",   """"tagging"""": """"[EN:Book flight] [ID:ke Jeddah lalu lanjut ke Madinah,] [EN:schedule] [ID:terbaik kapan?]"""",   """"respon"""": """"Jadwal terbaik sangat bergantung pada ketersediaan tiket maskapai penerbangan dan waktu keberangkatan Anda. Anda disarankan untuk memeriksa situs resmi maskapai guna mendapatkan informasi jadwal yang paling sesuai."""" } ```"|SUCCESS|42.26|data/evaluation_output/audio_results\2222_audio7.wav|||
2301_audio1.wav|audio01.txt|Aku mau book fly ke jedah minggu depan. Bisa bantu schedule?|Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?|0.2727|0.0938|"```json {   """"perbaikan"""": """"Saya ingin memesan penerbangan ke Jeddah minggu depan. Bisakah Anda membantu mengatur jadwalnya?"""",   """"tagging"""": """"[ID:Aku mau] [EN:book fly] [ID:ke jedah minggu depan. Bisa bantu] [EN:schedule?]"""",   """"respon"""": """"Anda dapat memeriksa jadwal penerbangan melalui situs resmi maskapai atau agen perjalanan untuk mendapatkan waktu keberangkatan yang sesuai. Segera lakukan pemesanan untuk memastikan ketersediaan kursi pada minggu depan."""" } ```"|SUCCESS|33.33|data/evaluation_output/audio_results\2301_audio1.wav|||
2301_audio11.wav|audio11.txt|Kenapa fasting di ramadhan itu wajib bagi muslim?|kenapa fasting di ramadan itu wajib bagi muslim|0.25|0.0426|"```json {   """"perbaikan"""": """"Mengapa berpuasa di bulan Ramadan itu wajib bagi umat Muslim?"""",   """"tagging"""": """"[ID:Kenapa fasting di ramadhan itu wajib bagi muslim?]"""",   """"respon"""": """"Puasa di bulan Ramadan adalah salah satu rukun Islam yang wajib dijalankan oleh setiap Muslim yang telah memenuhi syarat. Hal ini merupakan bentuk ketaatan dan perintah langsung dari Allah SWT dalam kitab suci Al-Qur'an."""" } ```"|SUCCESS|32.39|data/evaluation_output/audio_results\2301_audio11.wav|||
2301_audio12.wav|audio12.txt|Bagaimana proses visa Saudi untuk umroh dari Indonesia sekarang?|Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang|0.2222|0.0317|"```json {   """"perbaikan"""": """"Bagaimana proses visa Saudi untuk umrah dari Indonesia saat ini?"""",   """"tagging"""": """"[ID:Bagaimana proses visa Saudi untuk umroh dari Indonesia sekarang?]"""",   """"respon"""": """"Proses visa umrah saat ini dapat dilakukan secara daring melalui platform resmi seperti Nusuk atau melalui biro perjalanan umrah yang terdaftar. Anda perlu menyiapkan paspor, foto terbaru, dan mengikuti instruksi pembayaran sesuai ketentuan pemerintah Arab Saudi."""" } ```"|SUCCESS|33.26|data/evaluation_output/audio_results\2301_audio12.wav|||
2301_audio14.wav|audio14.txt|How to prepare dokumen umroh dari Indonesia dengan benar|How to prepare dokumen umrah dari Indonesia dengan benar|0.1111|0.0179|"```json {   """"perbaikan"""": """"Bagaimana cara menyiapkan dokumen umrah dari Indonesia dengan benar?"""",   """"tagging"""": """"[EN:How to prepare] [ID:dokumen umroh dari Indonesia dengan benar]"""",   """"respon"""": """"Anda perlu menyiapkan paspor dengan masa berlaku minimal enam bulan, visa umrah, serta dokumen kesehatan yang diperlukan. Disarankan untuk berkonsultasi dengan biro perjalanan resmi guna memastikan seluruh persyaratan administrasi telah terpenuhi."""" } ```"|SUCCESS|45.79|data/evaluation_output/audio_results\2301_audio14.wav|||
2301_audio15.wav|audio15.txt|Tolong buat checklist persiapan umroh termasuk barang wajib dibawa.|Tolong buat checklist persiapan umrah termasuk barang wajib dibawa|0.2222|0.0303|"```json {   """"perbaikan"""": """"Tolong buatkan daftar periksa persiapan umrah termasuk barang-barang wajib yang harus dibawa."""",   """"tagging"""": """"[ID:Tolong buat] [ID:checklist] [ID:persiapan umroh] [ID:termasuk] [ID:barang wajib dibawa.]"""",   """"respon"""": """"Daftar periksa Anda harus mencakup paspor, dokumen visa, pakaian ihram, serta obat-obatan pribadi. Selain itu, jangan lupa membawa perlengkapan mandi, charger ponsel, dan alas kaki yang nyaman untuk beribadah."""" } ```"|SUCCESS|33.02|data/evaluation_output/audio_results\2301_audio15.wav|||
2301_audio2.wav|audio02.txt|Aku butuh travel umrah simple, tapi include Madinah visit.|Aku butuh travel umrah simple tapi include Madinah visit|0.2222|0.0357|"```json {   """"perbaikan"""": """"Saya membutuhkan biro perjalanan umrah yang praktis, tetapi sudah termasuk kunjungan ke Madinah."""",   """"tagging"""": """"[ID:Aku butuh travel umrah simple, tapi include] [EN:Madinah visit.]"""",   """"respon"""": """"Anda dapat mencari paket umrah praktis yang sudah mencakup kunjungan ke Madinah melalui agen perjalanan resmi. Pastikan Anda meninjau rincian rencana perjalanan agar sesuai dengan kebutuhan Anda."""" } ```"|SUCCESS|32.89|data/evaluation_output/audio_results\2301_audio2.wav|||
2301_audio3.wav|audio03.txt|Can you help aku arrange transport dari Jeddah ke Madinah tomorrow?|Can you help aku arrange transport dari Jeddah ke Madinah tomorrow|0.0909|0.0152|"```json {   """"perbaikan"""": """"Bisakah Anda membantu saya mengatur transportasi dari Jeddah ke Madinah besok?"""",   """"tagging"""": """"[EN:Can you help] [ID:aku] [EN:arrange transport] [ID:dari] [ID:Jeddah] [ID:ke] [ID:Madinah] [EN:tomorrow?]"""",   """"respon"""": """"Anda dapat memesan tiket kereta cepat atau bus melalui aplikasi resmi untuk perjalanan besok. Segera lakukan pemesanan guna memastikan ketersediaan jadwal dan kursi."""" } ```"|SUCCESS|49.37|data/evaluation_output/audio_results\2301_audio3.wav|||
2301_audio4.wav|audio04.txt|Explain step by step cara apply visa Saudi dengan benar|Explain step by step cara apply visa Saudi dengan benar|0.0|0.0|"```json {   """"perbaikan"""": """"Jelaskan langkah demi langkah cara mengajukan visa Saudi dengan benar."""",   """"tagging"""": """"[EN:Explain step by step] [ID:cara apply visa Saudi dengan benar]"""",   """"respon"""": """"Anda dapat mengajukan visa melalui platform resmi pemerintah Arab Saudi atau melalui biro perjalanan umrah terpercaya. Pastikan paspor Anda masih berlaku dan seluruh dokumen pendukung telah disiapkan sesuai ketentuan yang berlaku."""" } ```"|SUCCESS|31.24|data/evaluation_output/audio_results\2301_audio4.wav|||
2301_audio5.wav|audio05.txt|"Ya akhi, uri du buk flight ila jidah al-usbu al-qadim. Hal bisa bantu ajidah afdal skajul warih latan mubashiroh?"|Ya akhi, uridu book flight ila Jeddah al-usbu'al qadim. Hal bisa bantu ajida afdhal schedule wa rihlatan mubashirah?|0.6667|0.1552|"```json {   """"perbaikan"""": """"Ya saudara, saya ingin memesan tiket pesawat ke Jeddah minggu depan. Bisakah Anda membantu mencari jadwal terbaik untuk keberangkatan langsung?"""",   """"tagging"""": """"[ID:Ya] [AR:akhi], [EN:uri du buk flight] [AR:ila] [AR:jidah] [AR:al-usbu al-qadim]. [ID:Hal bisa bantu] [AR:ajidah] [ID:afdal] [EN:skajul] [AR:warih latan mubashiroh?]"""",   """"respon"""": """"Anda dapat memeriksa jadwal penerbangan langsung ke Jeddah melalui situs resmi maskapai atau agen perjalanan terpercaya. Segera lakukan pemesanan untuk minggu depan agar mendapatkan waktu keberangkatan yang paling sesuai."""" } ```"|SUCCESS|36.75|data/evaluation_output/audio_results\2301_audio5.wav|||
2301_audio6.wav|audio06.txt|Uridu Range Transport menjedah ila Madinah Ghodan|Urīdu arrange transport min Jeddah ilā Madinah ghadan|0.75|0.1509|"```json {   """"perbaikan"""": """"Saya ingin mengatur transportasi dari Jeddah ke Madinah besok."""",   """"tagging"""": """"[AR:Uridu] [EN:Range Transport] [AR:menjedah ila Madinah] [AR:Ghodan]"""",   """"respon"""": """"Anda dapat memesan layanan kereta cepat atau bus untuk perjalanan dari Jeddah ke Madinah besok. Disarankan untuk melakukan pemesanan lebih awal guna memastikan ketersediaan jadwal."""" } ```"|SUCCESS|31.97|data/evaluation_output/audio_results\2301_audio6.wav|||
2302_audio01.wav|audio01.txt|Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule.|Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?|0.0909|0.0156|"```json {   """"perbaikan"""": """"Saya ingin memesan tiket pesawat ke Jeddah minggu depan, bisakah Anda membantu mengatur jadwalnya?"""",   """"tagging"""": """"[ID:Aku mau] [EN:book flight] [ID:ke Jeddah minggu depan, bisa bantu] [EN:schedule.]"""",   """"respon"""": """"Anda dapat memeriksa jadwal penerbangan melalui situs resmi maskapai atau agen perjalanan. Segera lakukan pemesanan agar Anda mendapatkan jadwal dan harga yang sesuai."""" } ```"|SUCCESS|44.78|data/evaluation_output/audio_results\2302_audio01.wav|||
2302_audio02.wav|audio02.txt|Aku butuh travel umroh simpel, tapi include Madinah visit.|Aku butuh travel umrah simple tapi include Madinah visit|0.3333|0.0714|"```json {   """"perbaikan"""": """"Saya membutuhkan paket perjalanan umrah yang praktis, tetapi sudah termasuk kunjungan ke Madinah."""",   """"tagging"""": """"[ID:Aku butuh travel umroh simpel, tapi] [EN:include] [ID:Madinah] [EN:visit.]"""",   """"respon"""": """"Anda dapat mencari paket umrah praktis yang sudah mencakup kunjungan ke Madinah melalui agen perjalanan resmi. Pastikan untuk meninjau rincian rencana perjalanan agar sesuai dengan kebutuhan Anda."""" } ```"|SUCCESS|31.73|data/evaluation_output/audio_results\2302_audio02.wav|||
2302_audio03.wav|audio03.txt|Can you help? Aku arrange transport dari Jeddah ke Madinah tomorrow.|Can you help aku arrange transport dari Jeddah ke Madinah tomorrow|0.1818|0.0303|"```json {   """"perbaikan"""": """"Bisakah Anda membantu saya mengatur transportasi dari Jeddah ke Madinah besok?"""",   """"tagging"""": """"[EN:Can you help?] [ID:Aku] [EN:arrange transport] [ID:dari Jeddah ke Madinah] [EN:tomorrow.]"""",   """"respon"""": """"Anda dapat memesan tiket kereta cepat atau bus melalui aplikasi resmi untuk perjalanan besok. Segera lakukan pemesanan guna memastikan ketersediaan jadwal dan kursi."""" } ```"|SUCCESS|42.29|data/evaluation_output/audio_results\2302_audio03.wav|||
2302_audio04.wav|audio04.txt|Expand step by step cara apply visa Saudi dengan benar.|Explain step by step cara apply visa Saudi dengan benar|0.2|0.0727|"```json {   """"perbaikan"""": """"Jelaskan langkah demi langkah cara mengajukan visa Arab Saudi dengan benar."""",   """"tagging"""": """"[EN:Expand step by step] [ID:cara] [EN:apply] [ID:visa Saudi dengan benar.]"""",   """"respon"""": """"Pertama, kunjungi situs resmi atau aplikasi Nusuk untuk mengisi formulir pengajuan visa secara daring. Selanjutnya, unggah dokumen pendukung seperti paspor dan bukti kesehatan, lalu selesaikan pembayaran biaya visa yang ditentukan."""" } ```"|SUCCESS|60.31|data/evaluation_output/audio_results\2302_audio04.wav|||
2302_audio05.wav|audio05.txt|Ya akhi, uri dubu flight ila jeddah al-usbu al-khadim hal bitha bantu ajida afdal schedule warih latan mubassiroh.|Ya akhi, uridu book flight ila Jeddah al-usbu'al qadim. Hal bisa bantu ajida afdhal schedule wa rihlatan mubashirah?|0.5|0.1552|"```json {   """"perbaikan"""": """"Saudara, saya ingin mencari penerbangan ke Jeddah minggu depan, bisakah Anda membantu saya menemukan jadwal terbaik?"""",   """"tagging"""": """"[AR:Ya akhi], [AR:uri dubu] [EN:flight] [AR:ila] [ID:jeddah] [AR:al-usbu al-khadim] [AR:hal bitha] [ID:bantu] [AR:ajida afdal] [EN:schedule] [AR:warih latan mubassiroh]"""",   """"respon"""": """"Anda dapat memeriksa jadwal penerbangan terbaik ke Jeddah melalui situs resmi maskapai atau agen perjalanan. Disarankan untuk segera melakukan pemesanan agar mendapatkan waktu keberangkatan yang sesuai dengan rencana Anda."""" } ```"|SUCCESS|70.92|data/evaluation_output/audio_results\2302_audio05.wav|||
2302_audio06.wav|audio06.txt|Uridu Range Transport Minjida ila Madinah Hadad|Urīdu arrange transport min Jeddah ilā Madinah ghadan|0.75|0.1887|"```json {   """"perbaikan"""": """"Saya ingin mengatur transportasi dari Jeddah ke Madinah besok."""",   """"tagging"""": """"[AR:Uridu] [EN:Range] [EN:Transport] [AR:Min] [ID:Jeddah] [AR:ila] [ID:Madinah] [AR:Hadad]"""",   """"respon"""": """"Anda dapat memesan tiket kereta cepat atau layanan bus melalui aplikasi resmi untuk perjalanan besok. Segera lakukan pemesanan guna memastikan ketersediaan jadwal dan kursi."""" } ```"|SUCCESS|57.72|data/evaluation_output/audio_results\2302_audio06.wav|||
2302_audio11.wav|audio11.txt|Kenapa fasting di Ramadan itu wajib bagi muslim?|kenapa fasting di ramadan itu wajib bagi muslim|0.125|0.0213|"```json {   """"perbaikan"""": """"Mengapa berpuasa di bulan Ramadan itu wajib bagi umat Muslim?"""",   """"tagging"""": """"[ID:Kenapa fasting di Ramadan itu wajib bagi muslim?]"""",   """"respon"""": """"Puasa di bulan Ramadan merupakan salah satu rukun Islam yang wajib dilaksanakan sebagai bentuk ketaatan kepada perintah Allah SWT. Hal ini bertujuan untuk meningkatkan ketakwaan, melatih kesabaran, dan menumbuhkan rasa empati terhadap sesama."""" } ```"|SUCCESS|30.7|data/evaluation_output/audio_results\2302_audio11.wav|||
